input_array,exec_best,exec_worst,exec_avg
10,2.6226043701171875e-06,3.814697265625e-06,7.152557373046875e-07
260,1.430511474609375e-06,5.4836273193359375e-06,3.5762786865234375e-06
510,1.1920928955078125e-06,4.5299530029296875e-06,2.384185791015625e-06
760,1.6689300537109375e-06,5.9604644775390625e-06,5.245208740234375e-06
1010,1.1920928955078125e-06,5.4836273193359375e-06,5.0067901611328125e-06
1260,1.6689300537109375e-06,6.4373016357421875e-06,4.76837158203125e-06
1510,2.1457672119140625e-06,6.4373016357421875e-06,5.4836273193359375e-06
1760,2.384185791015625e-06,6.9141387939453125e-06,5.9604644775390625e-06
2010,2.384185791015625e-06,6.4373016357421875e-06,5.7220458984375e-06
2260,9.5367431640625e-07,1.0013580322265625e-05,4.5299530029296875e-06
2510,1.430511474609375e-06,6.198883056640625e-06,4.5299530029296875e-06
2760,1.1920928955078125e-06,6.67572021484375e-06,5.7220458984375e-06
3010,1.1920928955078125e-06,6.198883056640625e-06,5.245208740234375e-06
3260,1.1920928955078125e-06,5.9604644775390625e-06,5.9604644775390625e-06
3510,1.1920928955078125e-06,5.9604644775390625e-06,5.245208740234375e-06
3760,1.1920928955078125e-06,5.9604644775390625e-06,5.7220458984375e-06
4010,1.430511474609375e-06,5.9604644775390625e-06,5.4836273193359375e-06
4260,2.6226043701171875e-06,7.62939453125e-06,6.67572021484375e-06
4510,1.6689300537109375e-06,6.67572021484375e-06,5.7220458984375e-06
4760,1.9073486328125e-06,7.3909759521484375e-06,5.9604644775390625e-06
5010,2.384185791015625e-06,7.3909759521484375e-06,6.4373016357421875e-06
5260,1.430511474609375e-06,6.67572021484375e-06,5.0067901611328125e-06
5510,1.6689300537109375e-06,6.9141387939453125e-06,5.9604644775390625e-06
5760,1.6689300537109375e-06,7.3909759521484375e-06,6.4373016357421875e-06
6010,1.6689300537109375e-06,6.9141387939453125e-06,6.4373016357421875e-06
6260,1.6689300537109375e-06,6.67572021484375e-06,6.67572021484375e-06
6510,1.9073486328125e-06,6.9141387939453125e-06,5.4836273193359375e-06
6760,1.1920928955078125e-06,6.4373016357421875e-06,5.245208740234375e-06
7010,1.430511474609375e-06,6.9141387939453125e-06,6.67572021484375e-06
7260,1.1920928955078125e-06,6.4373016357421875e-06,4.76837158203125e-06
7510,1.1920928955078125e-06,6.4373016357421875e-06,6.67572021484375e-06
