input_size,exec_time_insertion,exec_time_merge
0,0,0
10,0,0
20,0,0
30,0,0
40,0,0
50,1000800,0
60,1000700,0
70,995300,1000800
80,1000100,2001200
90,2000700,997700
100,3000500,2000000
110,4022800,2985200
120,3999000,3002200
130,6000500,2004200
140,7011700,2990500
150,15002100,2002100
160,7997900,2001900
170,10001800,2996500
180,10000100,4001800
190,12000300,3003200
200,7992500,3001500
210,11997900,2000600
220,10996300,3001200
230,13000600,4995800
240,15994200,4005300
250,10997700,2995500
260,20000800,6003300
270,19000600,4007000
280,17012400,2988200
290,18999000,2002100
300,20008000,4988700
310,21000300,5998700
320,30025800,4976000
330,21999300,4004800
340,26995700,6023600
350,32991400,5996800
360,41001400,7004400
370,38995200,8005600
380,30996800,6000400
390,39006500,6005400
400,38919300,5999500
410,41997100,6011000
420,42998700,11999700
430,40999100,3998300
440,53002400,6002600
450,27998600,5002800
460,26005000,4994200
470,40995500,6005300
480,35001200,4999900
490,41001000,7996200
500,63003300,2996200
510,45998300,3999800
520,55999400,4999400
530,53996000,9002400
540,43997200,4999700
550,57001900,2998600
560,64003000,5999200
570,72000500,9998800
580,111006000,23997800
590,73993200,6008400
600,65000200,8001700
610,54990000,11001000
620,73005700,6997400
630,94003500,7991100
640,65997200,14001800
650,125000300,14000000
660,88001800,8996400
670,97997000,6997500
680,85999800,6999700
690,113995200,10000500
700,106995900,7000800
710,96996300,7000900
720,85999400,3998500
730,128000400,8999600
740,101006000,11995600
750,133999600,10999400
760,102995900,8003400
770,89997200,7000900
780,135998800,6997100
790,95998700,5000100
800,109997200,5003300
810,165001400,11999000
820,111995700,19007700
830,106992700,4998700
840,122995300,6000300
850,139002200,12996300
860,140997400,7999900
870,116998100,11000900
880,103997500,5000100
890,129000100,5002200
900,90996700,7004600
910,89006900,5999000
920,113996500,10004600
930,145000800,4999500
940,220017000,17985800
950,339955300,21005600
960,217000800,14999300
970,252001900,12998900
980,185996300,36000700
990,188003300,9997900
1000,149000600,7999900
1010,195991800,10003400
1020,115997800,4998900
1030,135006900,11995400
1040,172005800,9993600
1050,247000600,20999400
1060,279992300,9994900
1070,161999900,8004200
1080,166997900,6999900
1090,165999400,19000000
1100,178013200,19988700
1110,192001200,14999500
1120,194997300,12000100
1130,243999900,13004500
1140,202997000,12999800
1150,161006000,7995900
1160,190002400,7997500
1170,157998900,17996200
1180,185000900,14009200
1190,246000900,9999800
1200,189997400,8001900
1210,200999700,31001700
1220,282997000,12997300
1230,214999000,5999900
1240,230000800,11999200
1250,241003200,6998500
1260,281997000,15998400
1270,414000800,14997900
1280,314052500,19998900
1290,449003300,9993500
1300,314000000,10999300
1310,350001900,8999500
1320,338994400,27012800
1330,247997400,10002900
1340,238998300,15995900
1350,323994200,10001500
1360,409002000,17000700
1370,404002400,12004600
1380,399998600,15000900
1390,337005700,16996100
1400,303996100,8000400
1410,424000400,8000100
1420,258001800,7997400
1430,159004100,9995900
1440,208000800,8002700
1450,433997600,29001000
1460,508000800,17000600
1470,269998600,13001700
1480,271999400,19000900
1490,228999800,16000900
1500,305996300,15001800
1510,394001900,27001000
1520,396005100,17000300
1530,260997800,7997300
1540,376002000,12998000
1550,298998900,16006800
1560,323003800,13993400
1570,292995700,12000700
1580,302992500,9001100
1590,511001300,27003100
1600,442998900,26001300
1610,327998800,13002100
1620,313996600,18999900
1630,394996500,14002400
1640,569992200,13000900
1650,685003100,10997700
1660,314000200,19999600
1670,395978400,9001500
1680,340010200,20986500
1690,268998200,9996500
1700,250997900,9000200
1710,309996400,8998300
1720,298999600,14001100
1730,321005100,10992500
1740,308997200,11000900
1750,240996800,9997500
1760,322002600,12001700
1770,327004000,26997300
1780,600001700,11001000
1790,435998700,16001400
1800,317000000,16994800
1810,390997800,23999200
1820,308005900,14995000
1830,295996400,10003000
1840,278010800,10000500
1850,393999200,11997100
1860,352996800,15998200
1870,324000100,10999700
1880,327001000,9998600
1890,286961300,18000400
1900,312004100,17997000
1910,313998300,10000200
1920,328998500,23031900
1930,459992400,21000900
1940,471998400,13003200
1950,380003100,15993400
1960,452997600,17999000
1970,479998200,27004400
1980,721998400,15999800
1990,583010000,23991200
2000,476997300,25997800
2010,619996800,18002200
2020,494996500,22005000
2030,579998200,13999500
2040,429000100,11000100
2050,402049400,12951700
2060,396005200,11995200
2070,568993200,17006900
2080,449991400,11000500
2090,355998200,11000700
2100,394997200,14004900
2110,677995700,11000100
2120,689002200,17001000
2130,470996300,13001300
2140,549051700,32966300
2150,378039900,11006100
2160,426001600,14003500
2170,482996600,12000400
2180,525996900,12000500
2190,368998200,11003200
2200,364996800,11000400
2210,355996600,16001400
2220,396960300,26001200
2230,424003700,17000400
2240,392996300,11999500
2250,518007400,14996000
2260,492997000,15000500
2270,483001400,16004600
2280,641998000,11999900
2290,525000300,13038500
2300,540003000,40005300
2310,585995400,22000700
2320,448998800,12000300
2330,510000300,20000200
2340,607002700,13998300
2350,538996900,15000200
2360,602002800,20998200
2370,625004700,13996600
2380,494999700,14000200
2390,429001200,13995400
2400,525998800,13000400
2410,493003100,12992400
2420,576974400,13000200
2430,480992500,14006100
2440,584997000,24999000
2450,635998700,15004200
2460,558001000,29000100
2470,655000400,22995600
2480,647995400,16000200
2490,553999600,14044300
2500,583550600,15000200
2510,597000300,21004200
2520,579996400,14000500
2530,811998200,21001700
2540,736996800,15000700
2550,541000300,23997300
2560,578002700,13959700
2570,632000500,23999500
2580,584962200,13997100
2590,548998600,16003300
2600,564998300,13999300
2610,711002600,15999100
2620,586000400,14998800
2630,605998800,14000000
2640,664004700,15000000
2650,630001800,23995200
2660,613999600,15035000
2670,600990800,15000400
2680,658005300,15001500
2690,828991300,22001000
2700,623003400,15000100
2710,694040800,15957700
2720,669005800,14997700
2730,605991800,18999500
2740,646996200,14999100
2750,607995700,15999800
2760,877997900,14999900
2770,695004300,19996300
2780,691002300,16003800
2790,636972300,22995200
2800,664052300,17950300
2810,750039300,17009100
2820,658996000,15000000
2830,918000100,15000300
2840,647004400,16036300
2850,670996500,16044900
2860,759517400,15999500
2870,677005200,21994900
2880,782994600,20002000
2890,885999900,28000400
2900,876997400,16000700
2910,1114996000,15999600
2920,708999200,16000300
2930,749042500,26965300
2940,655004200,15957200
2950,1015994900,19000700
2960,775004200,19995800
2970,974998600,17001300
2980,752998700,28004000
2990,751995000,15002500
3000,732997000,26001800
3010,852000300,18999600
3020,765004200,30993900
3030,851997100,17999700
3040,806999900,48999400
3050,1102999100,28012700
3060,939003400,33005800
3070,1046000600,25995300
3080,968993800,15999300
3090,874004100,14995900
3100,830998500,29053800
3110,1027995800,23001100
3120,1124003400,13001100
3130,1037000200,11999700
3140,1039999500,33004600
3150,966065200,12999000
3160,1366937900,26992000
3170,1373998200,44001300
3180,1292995400,38002900
3190,1342001100,15997900
3200,1111000600,13998200
3210,1145959300,30997300
3220,1083053000,24946300
3230,1234153300,17999900
3240,1234001900,35008400
3250,1162997600,15997300
3260,1171007200,25991200
3270,986999900,37007600
3280,1479993900,29998100
3290,942001100,14999900
3300,1296002800,46007800
3310,1157515100,17996500
3320,1311007200,53993700
3330,1287994400,16000000
3340,1225002400,21000500
3350,1201990600,24011900
3360,1336990900,41001000
3370,1077996400,35002100
3380,1294999500,24997900
3390,1172957600,30001300
3400,1447999400,24998400
3410,1194997500,33005400
3420,1218038300,14999300
3430,1381998800,11999500
3440,1423998400,30003800
3450,1078992700,13000100
3460,1163975900,13996500
3470,1321998700,32001400
3480,1468537900,30004300
3490,1299996200,36003700
3500,1209997300,31055300
3510,1187003300,37984000
3520,1307000300,35006200
3530,1242990700,44003200
3540,1186995700,41000900
3550,1240051300,41996100
3560,1364998600,14999700
3570,1236971000,41006000
3580,1264998700,15999300
3590,1563972200,31997400
3600,1332986200,16000300
3610,1280005200,29990100
3620,1153995800,44001900
3630,1511999400,49004200
3640,1366000400,16999800
3650,1385997700,45001000
3660,1581008000,60993300
3670,1804002500,49024100
3680,1511000300,25997800
3690,1665522700,14999600
3700,1460006100,32997300
3710,1196002600,24997200
3720,1495015600,45998500
3730,1603001100,34997900
3740,1409000000,39001400
3750,1208014900,43983800
3760,1693030400,14969000
3770,1601995100,18998500
3780,1385962900,35002700
3790,1558995200,22091800
3800,1387991900,24999000
3810,1432992400,35975200
3820,1426522700,49302000
3830,1535997700,33000400
3840,1423000400,28995900
3850,1424992800,29998600
3860,1789018200,16998900
3870,1683999700,15997400
3880,1629999300,80002400
3890,1704996300,43002100
3900,1611002100,39001900
3910,1608998000,17999000
3920,1671997500,40002100
3930,1674011300,34000800
3940,1771996600,35002800
3950,1543066600,27001900
3960,1789000400,33996600
3970,1587999400,45997500
3980,1750028400,53969500
3990,1600997600,34003500
4000,1806015600,40980200
4010,1485037800,18001900
4020,1727989500,20995400
4030,1680073600,57000800
4040,1416008000,58995400
4050,1666997800,15999900
4060,1991004300,41999600
4070,2437039100,56973400
4080,2039518200,24997300
4090,2211001300,18999400
4100,1697001000,42001900
4110,1909996600,18999200
4120,1831002500,33997800
4130,1776986200,24998900
4140,1984998800,52000800
4150,1821006000,16995300
4160,1888987100,17000900
4170,1948132900,17003600
4180,1808957800,23996500
4190,2112003200,34003300
4200,2085998800,36999200
4210,2370996000,17001500
4220,2319000800,50006800
4230,2179000100,28994200
4240,1973998500,19038500
4250,1851101900,17999400
4260,2132001800,27996400
